Shot Number,Partition,Made,Makes,Save,Missed Goal,conversion_rate_other,prop_nc_missed_other,,prop_shots_other
157,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
158,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
159,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
160,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
161,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
162,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
163,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
164,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
165,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
166,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
167,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
168,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
169,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
170,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
171,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
172,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
173,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
174,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
175,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
176,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
177,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
178,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
179,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
180,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
181,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
182,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
183,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
184,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
185,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
186,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
187,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
188,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
189,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
190,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
191,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
192,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
193,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
194,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
195,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
196,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
197,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
198,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
199,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
200,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
201,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
202,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
203,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
204,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
205,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
206,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
207,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
208,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
209,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
210,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
211,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
212,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
213,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
214,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
215,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
216,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
217,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
218,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
219,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
220,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
221,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
222,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
223,Bottom Left,1,,0,0,0.787234043,0.128205128,,0.34953271
